Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,7255.406303,7569.969001,7721.763119,8129.144121,8788.013323,8440.034526,9079.481212,9556.832802,10029.47775,10379.1604,11010.19746,10502.93881,10549.66619,10968.89268,11650.84848,12808.01015,14310.68623,16006.13611,16457.10406,14530.59869,13404.51602,13117.14694,13686.47659,13350.14914,14004.81121,14861.88271,15862.65166,16110.55628,17527.16963,18319.45605
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,18249.70948,18860.58159,18624.55508,17700.11556,18129.79072,20446.71985,22020.09372,23645.08833,21478.38516,20698.7127,21853.78167,19681.66264,20291.17855,23705.90722,30819.99349,34461.70878,36570.72037,41023.75486,49679.18053,42810.33166,52134.30885,62596.43217,68044.71482,68158.57974,62513.41122,56710.44572,49875.56514,53936.14025,57207.87151,54941.43418
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,21680.98962,22410.91177,24880.16412,24081.52779,25646.70066,30325.84958,29809.07677,26705.4786,27361.87511,27183.47593,24625.60072,24558.76368,26527.59309,32294.04886,36889.23351,38417.45779,40669.32696,46915.3374,51919.98358,48153.32402,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51466.55656,50070.40335
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,1234.530889,1209.187602,60.45821358,209.4785718,157.0860591,314.5612263,409.1631891,505.5003493,561.9068079,573.9165123,655.1199452,703.6838434,763.080638,883.7339715,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5843.533768,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,206.4449283,208.6567234,188.5811668,168.9640756,165.5859347,168.6271677,146.5361825,164.2334457,148.0895535,130.7530239,138.0046172,135.6064758,124.1392972,114.3670072,128.5384225,151.1885364,166.2762376,170.7068737,194.7106401,204.5447501,222.6605892,236.4513537,238.2059494,241.5476708,257.8185519,289.3596333,242.0656705,243.1358094,231.4464765,216.9729681
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,20600.37528,21041.66065,23372.61917,22283.93602,24208.55479,28413.82644,27489.55518,24820.93805,25338.44329,25252.80191,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44760.29124,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46638.68131
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,381.8050394,375.2920076,310.6237201,398.6129977,269.790585,358.8230057,380.5883092,355.1420548,372.8773308,541.7023024,502.9979648,508.3474429,564.3790796,698.4088086,784.1191226,805.9046287,837.1320425,944.6432077,1098.94678,1061.718411,1009.489494,1099.414311,1112.569535,1214.295566,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.965533
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,339.6318076,334.7596647,349.708109,325.1536424,187.8151365,229.832672,243.5269378,224.6113331,250.4139338,293.887468,249.8020676,260.4434706,286.753726,363.8183683,405.451301,442.9443995,457.3420967,516.7503479,621.890329,603.8775751,627.2703475,727.6125147,733.9729342,762.3038171,767.3713907,632.1266837,665.7863455,711.1846047,779.2027097,772.1668949
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,294.9046567,283.3822853,284.9669776,292.4253474,292.0788195,322.0873898,387.3848632,395.3180524,401.9651801,404.4861431,413.1001853,410.0485409,407.9629676,440.7144048,469.1164584,492.8086489,503.5383322,552.3389345,630.1089792,698.5210262,776.8595769,856.3815861,876.8175451,973.7733926,1108.5151,1236.00506,1659.961605,1815.609426,1963.411855,2122.078851
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,2366.529821,1267.734375,1211.980878,1278.247173,1148.494399,2258.284248,1470.101687,1361.392386,1820.405232,1659.718611,1621.243018,1770.913534,2092.957694,2719.497508,3389.706802,3899.907721,4523.050833,5888.776852,7271.395837,6988.23342,6853.002854,7849.165283,7432.478766,7681.93462,7901.785876,7074.681023,7569.478815,8366.293221,9446.717094,9879.334343
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,8174.797232,8621.767048,8568.658051,9063.565385,9384.771881,9543.389368,9643.308694,9728.446323,9195.42561,9566.095494,12738.77412,12291.83261,12819.99594,14230.29675,15777.96364,17705.23516,19057.7989,20883.54803,23155.82145,19448.18326,21186.81433,23741.55746,25102.72635,25790.73031,25464.7601,22795.44886,22867.18112,24349.90987,25415.84662,25869.11291
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,11696.51137,11269.95052,11025.87836,10730.00097,11085.14713,11447.0179,11835.38679,20415.70617,21665.38786,23991.7008,24849.60648,25234.14415,26590.14018,26204.8805,26393.41395,28280.87084,28829.84938,29687.86522,29013.63029,27120.69055,27046.65767,26644.92658,28059.6554,27389.60197,28720.66219,30206.24043,29887.16488,30969.8762,31738.26716,32610.48505
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,333.7831793,497.6828466,712.9536456,907.1257658,1000.398642,1128.272892,1332.122365,1382.80542,1602.695144,2031.322775,2451.821681,2741.118519,3170.11785,3936.940013,4846.776421,4542.282637,4507.054433,4981.035681,4688.376623,5025.074597,5196.8608,4599.901029,4858.775926,5255.807058,5936.101502,6011.370671
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,2124.767944,1765.735895,1667.605057,1590.088117,1460.0655,1370.699283,1452.507105,1396.442019,1511.325316,1210.61172,1276.288034,1244.373185,1479.314583,1819.766059,2378.623286,3125.810535,3847.434124,4735.657608,6377.369732,5352.583912,6033.686239,6527.173869,6953.132515,7998.125239,8341.399679,5967.052204,5039.681886,5785.670673,6360.062473,6837.717826
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3009.491262,3212.450794,3644.265078,3867.605329,3888.295299,4021.006504,4057.853603,3997.84448,4063.901968,4189.350028,4642.147035,4687.625957,4816.650846,4916.703914,5106.053034,5212.661614,5475.72291,5707.113365,5656.408361,5348.997839,5397.291575,5521.366276,5645.895822,5887.933435,6068.088609,6142.478833,6148.706961,6100.994681,6059.162553,6210.565543
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,26841.51974,27700.31006,28669.68171,30900.69428,31476.06372,33989.72316,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,685.9427177,737.5230898,763.2639355,760.1146521,777.4188962,856.3725462,925.8513995,973.9548469,1025.415636,981.7543295,977.336056,930.8780795,888.198576,892.3514969,951.9516229,1018.308928,1200.070588,1351.042925,1687.583393,1725.146286,1922.049531,2304.969835,2562.466784,2853.797162,3022.462884,2975.648811,3013.502708,3280.008213,3471.006951,3472.380831
